"","day","total","A","B","C","AA","AB","AC","BA","BB","CA"
"1","2006-01-01",18,10,7,1,6,3,1,2,5,1
"2","2006-01-02",10,6,3,1,2,3,1,3,0,1
"3","2006-01-03",29,10,13,6,5,2,3,7,6,6
"4","2006-01-04",12,6,6,0,3,3,0,2,4,0
"5","2006-01-05",22,13,4,5,7,6,0,0,4,5
"6","2006-01-06",25,12,12,1,3,5,4,5,7,1
"7","2006-01-07",18,6,9,3,3,0,3,2,7,3
"8","2006-01-08",14,9,3,2,5,2,2,1,2,2
"9","2006-01-09",18,11,7,0,2,6,3,3,4,0
"10","2006-01-10",25,15,8,2,5,9,1,2,6,2
"11","2006-01-11",25,13,10,2,5,3,5,4,6,2
"12","2006-01-12",23,14,6,3,7,4,3,4,2,3
"13","2006-01-13",20,7,8,5,4,2,1,3,5,5
"14","2006-01-14",20,10,7,3,5,5,0,4,3,3
"15","2006-01-15",12,8,4,0,2,3,3,1,3,0
"16","2006-01-16",26,15,9,2,9,5,1,2,7,2
"17","2006-01-17",13,8,3,2,3,4,1,0,3,2
"18","2006-01-18",18,12,5,1,3,5,4,3,2,1
"19","2006-01-19",15,9,4,2,3,4,2,1,3,2
"20","2006-01-20",26,12,12,2,4,8,0,5,7,2
"21","2006-01-21",31,17,12,2,9,6,2,8,4,2
"22","2006-01-22",26,9,11,6,4,3,2,6,5,6
"23","2006-01-23",21,9,9,3,5,2,2,3,6,3
"24","2006-01-24",16,8,7,1,4,2,2,4,3,1
"25","2006-01-25",12,5,5,2,2,2,1,3,2,2
"26","2006-01-26",23,11,11,1,4,4,3,10,1,1
"27","2006-01-27",26,10,13,3,1,6,3,9,4,3
"28","2006-01-28",23,11,11,1,4,4,3,4,7,1
"29","2006-01-29",18,8,10,0,4,3,1,3,7,0
"30","2006-01-30",21,9,11,1,2,3,4,8,3,1
"31","2006-01-31",28,12,10,6,4,4,4,4,6,6
"32","2006-02-01",27,16,9,2,4,8,4,5,4,2
"33","2006-02-02",19,7,10,2,4,1,2,7,3,2
"34","2006-02-03",31,14,14,3,3,8,3,10,4,3
"35","2006-02-04",14,8,5,1,3,4,1,0,5,1
"36","2006-02-05",13,4,8,1,0,3,1,5,3,1
"37","2006-02-06",12,7,5,0,4,2,1,2,3,0
"38","2006-02-07",14,10,3,1,7,2,1,2,1,1
"39","2006-02-08",24,12,10,2,4,5,3,5,5,2
"40","2006-02-09",16,3,8,5,1,2,0,4,4,5
"41","2006-02-10",22,7,12,3,2,5,0,2,10,3
"42","2006-02-11",24,12,10,2,5,6,1,6,4,2
"43","2006-02-12",20,8,10,2,3,5,0,6,4,2
"44","2006-02-13",20,12,7,1,1,6,5,2,5,1
"45","2006-02-14",21,10,10,1,4,4,2,6,4,1
"46","2006-02-15",22,11,9,2,5,5,1,3,6,2
"47","2006-02-16",19,11,6,2,2,6,3,3,3,2
"48","2006-02-17",15,11,4,0,6,2,3,0,4,0
"49","2006-02-18",22,11,8,3,7,3,1,5,3,3
"50","2006-02-19",20,11,6,3,5,4,2,2,4,3
"51","2006-02-20",25,13,11,1,4,5,4,7,4,1
"52","2006-02-21",15,4,10,1,2,2,0,4,6,1
"53","2006-02-22",20,10,10,0,3,4,3,7,3,0
"54","2006-02-23",15,9,5,1,3,4,2,4,1,1
"55","2006-02-24",17,8,8,1,1,3,4,3,5,1
"56","2006-02-25",23,13,7,3,3,6,4,5,2,3
"57","2006-02-26",21,13,6,2,5,4,4,4,2,2
"58","2006-02-27",24,10,10,4,4,5,1,4,6,4
"59","2006-02-28",22,12,9,1,6,5,1,4,5,1
"60","2006-03-01",23,12,9,2,6,3,3,6,3,2
"61","2006-03-02",24,13,9,2,1,8,4,6,3,2
"62","2006-03-03",20,7,10,3,1,3,3,4,6,3
"63","2006-03-04",32,17,10,5,7,6,4,3,7,5
"64","2006-03-05",30,13,15,2,5,7,1,5,10,2
"65","2006-03-06",19,9,9,1,7,2,0,6,3,1
"66","2006-03-07",20,14,6,0,6,5,3,4,2,0
"67","2006-03-08",23,9,12,2,4,4,1,5,7,2
"68","2006-03-09",19,7,8,4,5,1,1,4,4,4
"69","2006-03-10",22,8,8,6,5,3,0,3,5,6
"70","2006-03-11",20,11,9,0,2,7,2,3,6,0
"71","2006-03-12",26,8,13,5,1,3,4,9,4,5
"72","2006-03-13",22,13,6,3,4,7,2,2,4,3
"73","2006-03-14",27,15,11,1,6,7,2,2,9,1
"74","2006-03-15",21,15,6,0,5,7,3,4,2,0
"75","2006-03-16",20,11,7,2,7,3,1,0,7,2
"76","2006-03-17",15,5,10,0,2,3,0,6,4,0
"77","2006-03-18",15,8,7,0,1,5,2,4,3,0
"78","2006-03-19",16,3,10,3,0,2,1,4,6,3
"79","2006-03-20",21,12,7,2,3,6,3,4,3,2
"80","2006-03-21",30,18,9,3,7,8,3,2,7,3
"81","2006-03-22",26,14,12,0,1,9,4,7,5,0
"82","2006-03-23",20,10,8,2,5,5,0,5,3,2
"83","2006-03-24",23,14,7,2,5,8,1,3,4,2
"84","2006-03-25",21,10,10,1,2,4,4,5,5,1
"85","2006-03-26",21,13,7,1,6,4,3,4,3,1
"86","2006-03-27",24,17,6,1,5,6,6,3,3,1
"87","2006-03-28",22,12,10,0,8,2,2,4,6,0
"88","2006-03-29",21,10,8,3,6,2,2,5,3,3
"89","2006-03-30",8,4,3,1,4,0,0,2,1,1
"90","2006-03-31",26,11,14,1,6,4,1,7,7,1
"91","2006-04-01",21,12,5,4,3,3,6,1,4,4
"92","2006-04-02",14,9,1,4,4,3,2,1,0,4
"93","2006-04-03",19,10,6,3,5,3,2,2,4,3
"94","2006-04-04",15,9,5,1,4,4,1,3,2,1
"95","2006-04-05",19,8,7,4,2,4,2,2,5,4
"96","2006-04-06",28,14,12,2,3,6,5,4,8,2
"97","2006-04-07",22,10,8,4,4,3,3,4,4,4
"98","2006-04-08",26,11,13,2,5,4,2,8,5,2
"99","2006-04-09",25,13,11,1,6,7,0,8,3,1
"100","2006-04-10",28,13,11,4,4,8,1,6,5,4
"101","2006-04-11",19,10,5,4,4,5,1,4,1,4
"102","2006-04-12",23,10,13,0,4,5,1,5,8,0
"103","2006-04-13",18,10,6,2,3,4,3,3,3,2
"104","2006-04-14",23,17,6,0,8,7,2,3,3,0
"105","2006-04-15",19,7,11,1,5,1,1,9,2,1
"106","2006-04-16",25,13,10,2,7,5,1,3,7,2
"107","2006-04-17",17,12,3,2,5,4,3,1,2,2
"108","2006-04-18",21,12,9,0,4,7,1,5,4,0
"109","2006-04-19",37,18,16,3,6,9,3,7,9,3
"110","2006-04-20",26,9,13,4,3,5,1,9,4,4
"111","2006-04-21",24,8,11,5,6,2,0,5,6,5
"112","2006-04-22",22,10,11,1,4,2,4,6,5,1
"113","2006-04-23",21,11,9,1,7,4,0,4,5,1
"114","2006-04-24",21,12,6,3,7,4,1,4,2,3
"115","2006-04-25",27,18,7,2,10,6,2,4,3,2
"116","2006-04-26",18,9,6,3,4,3,2,4,2,3
"117","2006-04-27",19,9,10,0,5,4,0,4,6,0
"118","2006-04-28",12,7,3,2,4,2,1,1,2,2
"119","2006-04-29",16,8,5,3,4,4,0,3,2,3
"120","2006-04-30",22,9,10,3,4,2,3,6,4,3
"121","2006-05-01",18,9,5,4,4,3,2,5,0,4
"122","2006-05-02",19,10,6,3,3,5,2,4,2,3
"123","2006-05-03",28,12,12,4,4,6,2,6,6,4
"124","2006-05-04",23,14,7,2,3,7,4,3,4,2
"125","2006-05-05",18,8,10,0,3,3,2,8,2,0
"126","2006-05-06",15,8,6,1,3,4,1,2,4,1
"127","2006-05-07",20,12,5,3,4,7,1,3,2,3
"128","2006-05-08",29,15,11,3,6,6,3,5,6,3
"129","2006-05-09",31,16,14,1,6,6,4,4,10,1
